City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
310,Hasaki,JP,75.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
311,Koutsouras,GR,85.1,clear sky,35.0339,25.9469,The White Houses
313,Kismayo,SO,76.93,scattered clouds,-0.3582,42.5454,Agan-Hotel
314,Hue,VN,86.11,broken clouds,16.4667,107.6,Saigon Morin Hotel
315,Wilmington,US,80.01,moderate rain,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
316,Sampit,ID,74.97,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
317,Kudahuvadhoo,MV,82.62,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
318,Mehamn,NO,84.15,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
320,Trincomalee,LK,81.19,overcast clouds,8.5711,81.2335,Welcombe Hotel
323,Faanui,PF,78.3,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
324,San Miguel,SV,87.46,scattered clouds,13.4833,-88.1833,Excalibur
325,Teguise,ES,75.42,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
326,Capreol,CA,70.27,few clouds,46.706,-80.9225,
327,Brigantine,US,88.2,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
328,Port Blair,IN,83.01,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
329,Marawi,PH,72.12,overcast clouds,7.9986,124.2928,Derogongan Residence
330,Ierapetra,GR,85.14,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
332,Tura,IN,76.01,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
334,Linkoping,SE,71.98,few clouds,58.4109,15.6216,Elite Stora Hotellet
337,Torbay,CA,77.77,scattered clouds,47.6666,-52.7314,Gallows Cove
338,Rabo De Peixe,PT,71.11,broken clouds,37.8,-25.5833,Quinta das Giestas
340,Imbituba,BR,72.09,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
341,Caravelas,BR,78.71,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
342,Asau,RO,81.52,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
344,Puerto Escondido,MX,86.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
345,Diamantino,BR,93.25,broken clouds,-14.4086,-56.4461,Hotel Delta
346,Celestun,MX,87.44,scattered clouds,20.8667,-90.4,Posada Lilia
349,Iwaki,JP,76.77,clear sky,37.05,140.8833,Toyoko Inn Iwaki Ekimae
350,Mecca,SA,94.6,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
352,Pop,UZ,84.69,clear sky,40.8736,71.1089,Ramz Hotel Pap
353,Ahmadpur,IN,81.63,moderate rain,18.7,76.9333,Satish suryawanshi niwas
357,Aguada De Pasajeros,CU,90.59,clear sky,22.385,-80.8508,CASA MAMÁ
358,Kamaishi,JP,71.76,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
362,Amarante Do Maranhao,BR,87.01,scattered clouds,-5.5667,-46.7422,Hotéis Caçulinha
363,Bara,NG,86.76,broken clouds,10.3744,10.7288,
367,Dong Hoi,VN,81.41,overcast clouds,17.4833,106.6,Nam Long Hotel
369,Ilinskiy,RU,77.38,clear sky,55.619,38.1182,Around the world
