City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Lompoc,US,2022-07-07 14:06:56,34.6391,-120.4579,62.02,85,100,15.01,overcast clouds
121,Wewak,PG,2022-07-07 14:06:56,-3.5534,143.6268,79.48,85,100,3.74,overcast clouds
122,Luderitz,NA,2022-07-07 14:06:57,-26.6481,15.1594,65.28,49,0,12.97,clear sky
123,Mogadishu,SO,2022-07-07 14:06:57,2.0371,45.3438,77.41,78,16,21.16,few clouds
124,Ville-Marie,CA,2022-07-07 14:06:57,47.3335,-79.433,64.99,49,0,4.41,clear sky
125,La Ronge,CA,2022-07-07 14:06:58,55.1001,-105.2842,60.91,54,6,3.83,clear sky
126,Mayo,US,2022-07-07 14:06:58,38.8876,-76.5119,76.03,86,100,8.05,overcast clouds
127,Bubaque,GW,2022-07-07 14:06:58,11.2833,-15.8333,80.67,81,98,10.78,overcast clouds
128,Morehead,US,2022-07-07 14:06:59,37.2711,-87.1764,84.99,79,0,0.0,clear sky
129,East London,ZA,2022-07-07 14:06:59,-33.0153,27.9116,69.15,49,0,6.02,clear sky
130,Cayenne,GF,2022-07-07 14:06:59,4.9333,-52.3333,87.1,32,75,6.91,broken clouds
131,Arraial Do Cabo,BR,2022-07-07 14:05:03,-22.9661,-42.0278,80.46,47,0,10.36,clear sky
132,Shingu,JP,2022-07-07 14:06:59,33.7333,135.9833,75.81,94,100,2.84,overcast clouds
133,Flinders,AU,2022-07-07 14:07:00,-34.5833,150.8552,53.19,77,95,5.99,overcast clouds
134,Vanavara,RU,2022-07-07 14:07:00,60.34,102.2797,58.15,96,100,4.12,light rain
135,Sand Springs,US,2022-07-07 14:02:07,36.1398,-96.1089,86.9,60,0,10.36,clear sky
136,Businga,CD,2022-07-07 14:07:00,3.3333,20.8833,86.61,53,45,2.75,scattered clouds
137,Fuxin,CN,2022-07-07 14:07:01,42.0156,121.6589,74.7,86,0,1.57,clear sky
138,Strezhevoy,RU,2022-07-07 14:07:01,60.7333,77.5889,71.58,60,34,3.67,scattered clouds
139,Namibe,AO,2022-07-07 14:07:01,-15.1961,12.1522,71.55,71,3,10.02,clear sky
140,Araxa,BR,2022-07-07 14:07:02,-19.5933,-46.9406,71.51,43,65,7.36,broken clouds
