City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Saint-Augustin,CA,2022-06-28 00:03:35,51.226,-58.6502,55.36,96,70,13.18
99,Alofi,NU,2022-06-28 00:03:36,-19.0595,-169.9187,78.94,81,10,13.31
100,Viedma,AR,2022-06-28 00:03:36,-40.8135,-62.9967,48.27,45,76,7.92
101,Huarmey,PE,2022-06-28 00:03:37,-10.0681,-78.1522,64.35,83,73,11.21
102,Touros,BR,2022-06-28 00:00:59,-5.1989,-35.4608,75.15,90,32,15.52
103,Atmakur,IN,2022-06-28 00:03:37,15.8833,78.5833,75.97,81,100,5.93
104,Ingleside,US,2022-06-28 00:03:37,27.8778,-97.2117,94.21,64,0,13.8
105,Lac Du Bonnet,CA,2022-06-28 00:03:38,50.2536,-96.0612,63.7,89,68,9.8
106,Brookings,US,2022-06-28 00:03:38,44.3114,-96.7984,81.1,37,40,8.05
107,Ilulissat,GL,2022-06-28 00:03:38,69.2167,-51.1,44.62,81,75,2.3
108,Egvekinot,RU,2022-06-28 00:03:38,66.3167,-179.1667,36.9,99,100,4.92
109,Sola,VU,2022-06-28 00:03:39,-13.8833,167.55,80.8,79,30,19.44
110,Carnarvon,AU,2022-06-28 00:03:39,-24.8667,113.6333,63.43,47,0,14.45
111,Passos,BR,2022-06-28 00:03:39,-20.7189,-46.6097,60.37,73,5,4.07
112,Avarua,CK,2022-06-28 00:03:40,-21.2078,-159.775,80.65,78,75,21.85
113,Mao,ES,2022-06-28 00:03:40,39.8885,4.2658,72.16,78,0,14.97
114,Solnechnyy,RU,2022-06-28 00:03:40,50.7214,136.6319,69.4,70,81,4.74
115,Meadow Lake,US,2022-06-28 00:03:41,34.8014,-106.5436,70.7,63,100,3.24
116,Tignere,CM,2022-06-28 00:03:41,7.3667,12.65,62.6,95,45,2.04
117,Vao,NC,2022-06-28 00:03:41,-22.6667,167.4833,73.51,74,100,6.11
118,Nioro,GM,2022-06-28 00:03:42,13.35,-15.75,81.25,76,96,11.45
119,Mandalgovi,MN,2022-06-28 00:03:42,45.7625,106.2708,65.79,47,86,7.09
120,Mahebourg,MU,2022-06-28 00:03:42,-20.4081,57.7,66.25,68,93,17.38
121,Eravur,LK,2022-06-28 00:03:43,7.7733,81.6095,79.34,68,88,7.58
122,Hirara,JP,2022-06-28 00:03:43,24.8,125.2833,83.48,80,93,19.69
123,Rio Gallegos,AR,2022-06-28 00:03:44,-51.6226,-69.2181,39.58,89,52,13.42
124,Poum,NC,2022-06-28 00:03:44,-20.2333,164.0167,75.78,72,99,5.26
125,Avera,US,2022-06-28 00:03:44,33.194,-82.5271,85.51,69,95,9.01
126,Morehead,US,2022-06-28 00:03:45,37.2711,-87.1764,78.94,46,0,6.91
127,Jamestown,US,2022-06-28 00:02:50,42.097,-79.2353,65.79,60,100,8.05
128,Mirnyy,RU,2022-06-28 00:03:45,62.5353,113.9611,58.21,69,98,8.81
129,Upernavik,GL,2022-06-28 00:03:45,72.7868,-56.1549,37.94,86,4,7.11
130,Airai,TL,2022-06-28 00:03:46,-8.9266,125.4092,62.24,79,96,5.06
131,Birjand,IR,2022-06-28 00:03:46,32.8663,59.2211,77.77,18,0,12.26
132,El Dorado,US,2022-06-28 00:03:46,38.7666,-120.5177,94.57,16,2,1.99
133,Shache,CN,2022-06-28 00:03:48,38.4167,77.2406,82.24,23,90,5.12
134,Saint-Francois,FR,2022-06-28 00:01:00,46.4154,3.9054,54.84,94,70,0.0
135,Ribeira Grande,PT,2022-06-28 00:03:48,38.5167,-28.7,66.25,80,37,9.66
136,Pisco,PE,2022-06-28 00:03:48,-13.7,-76.2167,64.02,77,35,16.11
137,Salamanca,ES,2022-06-27 23:58:51,40.8333,-6.0,59.76,62,1,8.81
138,Ostrovnoy,RU,2022-06-28 00:03:49,68.0531,39.5131,40.05,86,72,4.16
139,Guerrero Negro,MX,2022-06-28 00:03:50,27.9769,-114.0611,80.38,57,23,17.52
140,Sirjan,IR,2022-06-28 00:03:50,29.452,55.6814,79.16,26,11,5.64
141,Yar-Sale,RU,2022-06-28 00:03:51,66.8333,70.8333,52.56,50,100,28.32
142,Lavrentiya,RU,2022-06-28 00:03:51,65.5833,-171.0,44.8,92,98,14.36
143,Nome,US,2022-06-28 00:02:31,64.5011,-165.4064,49.15,97,100,8.43
144,Ewa Beach,US,2022-06-28 00:03:52,21.3156,-158.0072,84.15,54,75,18.41
145,Puerto Penasco,MX,2022-06-28 00:03:52,31.3167,-113.5333,86.92,74,0,8.99
146,Xining,CN,2022-06-28 00:03:52,36.6167,101.7667,58.42,60,71,3.4
147,Cedral,MX,2022-06-28 00:03:53,23.8,-100.7333,78.04,37,64,23.35
148,Lorengau,PG,2022-06-28 00:03:53,-2.0226,147.2712,84.7,69,91,9.42
